Grand Forks Air Force Base (AFB), BRAC beddown and flight operations of remotely piloted aircraft	United States. Air Force.		2010	USAF-ND-100269	google	NWU	https://catalog.hathitrust.org/Record/100978570	Full View
Ellsworth Air Force Base (AFB), Powder River training complex	United States. Air Force.		2010	USAF-SD-100322	google	NWU	https://catalog.hathitrust.org/Record/100976900	Full View
Analysis of hydrologic response to rain-on-snow	Colbeck, Samuel C. Cold Regions Research and Engineering Laboratory (U.S.) United States. Army. Corps of Engineers.	U.S. Army Cold Regions Research and Engineering Laboratory,	1975		google	NWU	https://catalog.hathitrust.org/Record/10604338	Full View
Negotiation of Protocol Relating to Intervention on High Seas in Cases of Marine Pollution by Substances Other Than Oil	United States. Coast Guard.		1973	USCG-731392	google	NWU	https://catalog.hathitrust.org/Record/100980864	Full View
Traffic survey in the South Water Market, Chicago	University of Illinois at Urbana-Champaign. Dept. of Agricultural Economics. United States. Bureau of Agricultural Economics.	United States Dept. of Agriculture, Bureau of Agricultural Economics,	1940		google	NWU	https://catalog.hathitrust.org/Record/11232940	Full View
Proceedings, U.S. Army Corps of Engineers Workshop on Reservoir Shoreline Erosion	Workshop on Reservoir Shoreline Erosion (1992 : McAlester, Okla.) Tingle, John L. Allen, Hollis H. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Water Operations Technical Support Program.	U.S. Army Engineer Waterways Experiment Station,	1993		google	UCR	https://catalog.hathitrust.org/Record/101798900	Full View
User's guide for the public use tapes	Research Triangle Institute. United States. Federal Highway Administration. Office of Highway Information Management.	U.S. Dept. of Transportation, Federal Highway Administration,	1991		google	NWU	https://catalog.hathitrust.org/Record/10604302	Full View
Proposed White Elk Military Operations Area	United States. Air Force.		2011	USAF-110151	google	NWU	https://catalog.hathitrust.org/Record/100976896	Full View
Crow Canyon, Broad Canyon, Placitas Arroyo watershed, Sierra County / Dona Ana County, environmental assessment (EA).	United States. Soil Conservation Service.		1977	SCS-NM-779977	google	NWU	https://catalog.hathitrust.org/Record/100972305	Full View
North Hollywood redevelopment project	United States. Department of Housing and Urban Development.		1979	HUD-CA-790012	google	NWU	https://catalog.hathitrust.org/Record/100984787	Full View
Jefferson National Expansion Memorial, general management plan	United States. National Park Service.		2009	NPS-MO-090357	google	NWU	https://catalog.hathitrust.org/Record/100979991	Full View
Highway vehicle MPG and market shares report	Williams, Linda S. Hu, Patricia S. Oak Ridge National Laboratory. United States. Dept. of Energy. Office of Transportation Technologies.	Oak Ridge National Laboratory ; National Technical Information Service,	1991		google	NWU	https://catalog.hathitrust.org/Record/10612368	Full View
Foreign trade subzone 9A, SNG plant, Honolulu	United States. Economic Development Administration.		1973	EDA-HI-731169	google	NWU	https://catalog.hathitrust.org/Record/100979140	Full View
Proceedings, Workshop on Field Inspection and Rehabilitation of Traffic Control Devices	Workshop on Field Inspection and Rehabilitation of Traffic Control Devices (1990 : Reston, Va. and Salt Lake City, Utah) Walcoff & Associates. United States. Federal Highway Administration.	Office of Implementation, Research Development, and Technology, Turner-Fairbank Highway Research Center, ; Available through the National Technical Information Service],	1990		google	NWU	https://catalog.hathitrust.org/Record/11242284	Full View
Hart Mountain National Antelope Refuge, withdrawn	United States. Bureau of Sport Fisheries and Wildlife.		1973	BSFW-OR-731915	google	NWU	https://catalog.hathitrust.org/Record/100975594	Full View
Coordinated freeway and arterial operations handbook	Urbanik, T. (Thomas), 1946- Science Applications International Corporation. United States. Federal Highway Administration. Office of Operations R&D. Turner-Fairbank Highway Research Center.	Turner-Fairbank Highway Research Center,	2006		google	NWU	https://catalog.hathitrust.org/Record/10641777	Full View
Statistics of oil pipe lines, 1921-1937	United States. Interstate Commerce Commission. Bureau of Statistics.	Interstate Commerce Commission, Bureau of Statistics,	1939		google	NWU	https://catalog.hathitrust.org/Record/10609047	Full View
Traffic signal preemption for emergency vehicles	United States. National Highway Traffic Safety Administration. Emergency Medical Services Division. United States. Joint Program Office for Intelligent Transportation Systems.	U.S. Department of Transportation, Federal Highway Administration, ITS Joint Program Office,	2006		google	NWU	https://catalog.hathitrust.org/Record/11238778	Full View
Elmendorf Air Force Base (AFB), Alaska Military Operations Area (MOA)	United States. Air Force.		1995	USAF-AK-950404	google	NWU	https://catalog.hathitrust.org/Record/100986123	Full View
Best practices manual	Gaumer, Robert L. EG & G Services (Firm) John A. Volpe National Transportation Systems Center (U.S.) United States. Federal Transit Administration. Office of Safety and Security.	U.S. Dept. of Transportation, Federal Transit Administration, Office of Safety and Security,	2002		google	NWU	https://catalog.hathitrust.org/Record/10608503	Full View
Trend and pattern analysis of highway crash fatality by month and day	Liu, Cejun. Utter, Dennis. Chen, Chou-Lin. United States. National Highway Traffic Safety Administration. National Center for Statistics and Analysis (U.S.). Mathematical Analysis Division.	National Highway Traffic Safety Administration ; Available through the National Technical Information Service,	2005		google	NWU	https://catalog.hathitrust.org/Record/12355361	Full View
Duralde-des Cannes watershed	United States. Soil Conservation Service.		1975	SCS-LA-751341	google	NWU	https://catalog.hathitrust.org/Record/100936518	Full View
Hickam Air Force Base (AFB), Fort Kamehameha historic district buildings and structures	United States. Air Force.		2009	USAF-HI-090094	google	NWU	https://catalog.hathitrust.org/Record/100972761	Full View
Vista Village workforce housing project	United States. Housing and Development		2007	HUD-CA-070208	google	NWU	https://catalog.hathitrust.org/Record/100977208	Full View
Luke Air Force Base (AFB), Barry M. Goldwater Range East range enhancements	United States. Air Force.		2009	USAF-AZ-100454	google	NWU	https://catalog.hathitrust.org/Record/100979640	Full View
Intermodal transportation	United States. Government Accountability Office. United States. Congress. House. Committee on Transportation and Infrastructure.	GAO,	2007		google	NWU	https://catalog.hathitrust.org/Record/10619945	Full View
Westpark master plan	United States. Department of Housing and Urban Development.		2007	HUD-WA-070198	google	NWU	https://catalog.hathitrust.org/Record/100985476	Full View
Cannon Air Force Base (AFB), AFSOC assets beddown	United States. Air Force.		2007	USAF-NM-070302	google	NWU	https://catalog.hathitrust.org/Record/100984449	Full View
East Fork of the Grand River Watershed plan, Ringgold County [IA], Union County [IA], Harrison County [MO], Worth County [MO]	United States. Soil Conservation Service.		1995	SCS-950361	google	NWU	https://catalog.hathitrust.org/Record/100974040	Full View
Hickam Air Force Base (AFB) and Bellows Air Force Station, housing privatization phase II, O'ahu	United States. Air Force.		2006	USAF-HI-060517	google	NWU	https://catalog.hathitrust.org/Record/100985558	Full View
Pipeline safety	United States. General Accounting Office.	U.S. General Accounting Office,	2003		google	NWU	https://catalog.hathitrust.org/Record/10608823	Full View
Upper Mississippi River National Wildlife and Fish Refuge, comprehensive conservation plan, alternative E, modified wildlife and integrated public use	Friesema, H. Paul, 1936-2013, donor. U.S. Fish and Wildlife Service.		2006	FWS-060293	google	NWU	https://catalog.hathitrust.org/Record/100978608	Full View
Los Angeles Air Force Base (AFB), land conveyance, construction, and development	United States. Air Force.		2003	USAF-CA-030301	google	NWU	https://catalog.hathitrust.org/Record/100978417	Full View
Ashburton Avenue master plan and urban renewal plan/Mulford Gardens HOPE VI revitalization plan	United States. Department of Housing and Urban Development.		2006	HUD-NY-060060	google	NWU	https://catalog.hathitrust.org/Record/100921503	Full View
Illinois	Duych, Ron. Battelle Memorial Institute. United States. Bureau of Transportation Statistics.	Bureau of Transportation Statistics,	2002		google	NWU	https://catalog.hathitrust.org/Record/7025089	Full View
Missouri River Basin comprehensive framework study	Missouri River Basin Commission. Missouri Basin Inter-agency Committee.	Missouri River Basin Commission,	1978		google	NWU	https://catalog.hathitrust.org/Record/10607766	Full View
Andersen Air Force Base (AFB), Establishment and operation of an intelligence, surveillance, reconnaissance, and strike capability	United States. Air Force.		2006	USAF-GU-060483	google	NWU	https://catalog.hathitrust.org/Record/100984323	Full View
Shaw Air Force Base (A.F.B.), Airspace training initiative	United States. Air Force.		2010	USAF-SC-100234	google	NWU	https://catalog.hathitrust.org/Record/100983983	Full View
Proposed implementation of base realignment and closure (BRAC), final recommendations and associated actions for the 104th Fighter Wing, Massachusetts Air National Guard at Westfield-Barnes Airport	United States. Air Force.		2007	USAF-MA-070457	google	NWU	https://catalog.hathitrust.org/Record/100980096	Full View
Waterway structures in the Northern Tier	Johnson, Peggy A. Pennsylvania. Department of Transportation. Bureau of Planning and Research. Pennsylvania State University. Department of Civil and Environmental Engineering.	Pennsylvania State University, Dept. of Civil and Environmental Engineering,	2007		google	NWU	https://catalog.hathitrust.org/Record/12357265	Full View
New Mexico training range initiative	United States. Air Force.		2006	USAF-NM-060429	google	NWU	https://catalog.hathitrust.org/Record/100940656	Full View
167th Airlift Wing, proposed aircraft conversion	United States. Air Force.		2004	USAF-WV-040347	google	NWU	https://catalog.hathitrust.org/Record/100979515	Full View
Oregon	Duych, Ron. Battelle Memorial Institute. United States. Bureau of Transportation Statistics.	Bureau of Transportation Statistics,	2003		google	NWU	https://catalog.hathitrust.org/Record/7053446	Full View
International negotiation	Ra'anan, Uri, 1926- United States. Congress. Senate. Committee on Government Operations. Subcommittee on National Security and International Operations.	U.S. Govt. Print. Off.,	1972		google	SRLF	https://catalog.hathitrust.org/Record/101797643	Full View
Johnston Atoll Airfield, termination of the Air Force mission	United States. Air Force.		2004	USAF-HI-040258	google	NWU	https://catalog.hathitrust.org/Record/100978629	Full View
Gasoline markets	United States. Government Accountability Office.	GAO,	2005		google	NWU	https://catalog.hathitrust.org/Record/10608987	Full View
Selection of railroad dispatcher candidates	Gertler, Judith B. Foster-Miller. United States. Federal Railroad Administration. Office of Research and Development.	U.S. Dept. of Transportation, Federal Railroad Administration, Office of Research and Development,	2003		google	NWU	https://catalog.hathitrust.org/Record/10608604	Full View
Transportation security research	United States. General Accounting Office. United States. Congress. House. Committee on Appropriations.	U.S. General Accounting Office,	2003		google	NWU	https://catalog.hathitrust.org/Record/10619771	Full View
Barry M. Goldwater Range proporsed integrated natural resources management plan	United States. Department of the Air Force.		2003	USAF-AZ-060210	google	NWU	https://catalog.hathitrust.org/Record/100980115	Full View
Salishan redevelopment project, Tacoma	United States. Department of Housing and Urban Development.		2004	HUD-WA-040074	google	NWU	https://catalog.hathitrust.org/Record/100921464	Full View
